incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
780526276,16-3110186,11/06/2016 01:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,E LOVEJOY ST & BENZINGER ST,,BUFFALO,NY,,,42.8897458121482,-78.80498982329577,11/07/2016 05:07:06 AM,09/23/2019 11:28:35 PM,POINT (-78.80498982329577 42.8897458121482),1,Sunday,Assault
939231940,19-2380386,08/25/2019 11:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,300 Block FARGO AV,,BUFFALO,NY,,,42.90685438686671,-78.89340193979002,08/26/2019 06:39:37 PM,09/24/2019 03:16:41 PM,POINT (-78.89340193979002 42.90685438686671),11,Sunday,Assault
942629272,07-3640242,12/30/2007 09:40:27 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,KENMORE AV & DELAWARE AV,,BUFFALO,NY,,,42.95866555078662,-78.86964117219725,09/24/2019 10:39:21 PM,09/24/2019 10:41:19 PM,POINT (-78.86964117219725 42.95866555078662),9,Sunday,Assault
942629898,07-3570158,12/23/2007 02:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,W TUPPER ST & PEARL ST,,BUFFALO,NY,,,42.89348997989594,-78.87310861871019,09/24/2019 10:39:21 PM,09/24/2019 10:41:13 PM,POINT (-78.87310861871019 42.89348997989594),2,Sunday,Assault
910333719,19-0760689,03/17/2019 06:26:22 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,300 Block WESTON AV,,BUFFALO,NY,,,42.92813396643466,-78.80430595980927,03/18/2019 02:38:31 AM,09/23/2019 11:34:47 PM,POINT (-78.80430595980927 42.92813396643466),18,Sunday,Assault
942660665,06-2250206,08/13/2006 02:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,E DELAVAN AV & BAILEY AV,,BUFFALO,NY,14215,,42.922659,-78.8136737,09/24/2019 10:48:50 PM,09/24/2019 10:56:10 PM,POINT (-78.8136737 42.922659),2,Sunday,Assault
942632548,07-3080156,11/04/2007 02:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,BEST ST & NORWAY PKWY,,BUFFALO,NY,,,42.90370511878063,-78.84714150528647,09/24/2019 10:40:10 PM,09/24/2019 10:41:59 PM,POINT (-78.84714150528647 42.90370511878063),2,Sunday,Assault
942668510,06-0990131,04/09/2006 02:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block NIAGARA ST,,BUFFALO,NY,14201,,42.8890162,-78.8811367,09/24/2019 10:50:35 PM,09/24/2019 10:57:27 PM,POINT (-78.8811367 42.8890162),2,Sunday,Assault
812032351,17-1900570,07/09/2017 01:30:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block E FERRY ST,,BUFFALO,NY,,,42.9150918226552,-78.85894935023563,07/10/2017 06:05:29 AM,09/23/2019 11:30:13 PM,POINT (-78.85894935023563 42.9150918226552),13,Sunday,Assault
877873649,18-2590245,09/16/2018 04:40:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block ALLEN ST,,BUFFALO,NY,,,42.89926826862273,-78.877539612011,09/16/2018 11:29:13 AM,09/23/2019 11:34:21 PM,POINT (-78.877539612011 42.89926826862273),4,Sunday,Assault
942635093,07-2660223,09/23/2007 03:20:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block SKILLEN ST,,BUFFALO,NY,,,42.94569552558025,-78.90764022742582,09/24/2019 10:40:52 PM,09/24/2019 10:43:10 PM,POINT (-78.90764022742582 42.94569552558025),3,Sunday,Assault
942648299,07-0770495,03/18/2007 01:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,400 Block FRANKLIN ST,,BUFFALO,NY,,,42.896344150058944,-78.87289806389309,09/24/2019 10:44:42 PM,09/24/2019 10:49:16 PM,POINT (-78.87289806389309 42.896344150058944),1,Sunday,Assault
942518174,16-1290261,05/08/2016 09:22:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,2100 Block GENESEE ST,,BUFFALO,NY,,,42.91688797838328,-78.80228716899455,09/23/2019 11:25:37 PM,09/23/2019 11:26:42 PM,POINT (-78.80228716899455 42.91688797838328),9,Sunday,Assault
807556562,17-1480483,05/28/2017 01:20:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block CASTLE AV,,BUFFALO,NY,,,42.94710294011752,-78.82697078651103,05/29/2017 06:04:51 AM,09/23/2019 11:30:20 PM,POINT (-78.82697078651103 42.94710294011752),13,Sunday,Assault
826575458,17-3160464,11/12/2017 02:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block WINSPEAR AV,,BUFFALO,NY,,,42.95026467051048,-78.82399507222866,11/13/2017 07:05:45 AM,09/23/2019 11:32:53 PM,POINT (-78.82399507222866 42.95026467051048),2,Sunday,Assault
942615281,08-2160039,08/03/2008 12:05:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1000 Block SMITH ST,,BUFFALO,NY,,,42.89065214370747,-78.84369008502061,09/24/2019 10:34:37 PM,09/24/2019 10:39:14 PM,POINT (-78.84369008502061 42.89065214370747),0,Sunday,Assault
944131628,11-2120509,07/31/2011 12:43:15 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block CORNELIA ST,,BUFFALO,NY,,,42.8765779109729,-78.84284744502212,10/10/2019 07:17:15 PM,10/10/2019 07:19:06 PM,POINT (-78.84284744502212 42.8765779109729),12,Sunday,Assault
942609552,08-3000358,10/26/2008 08:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1700 Block AMHERST ST,,BUFFALO,NY,,,42.93996809236367,-78.83990174284186,09/24/2019 10:33:12 PM,09/24/2019 10:36:55 PM,POINT (-78.83990174284186 42.93996809236367),8,Sunday,Assault
942633009,07-3010134,10/28/2007 02:12:10 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block SUSSEX ST,,BUFFALO,NY,,,42.92748520182968,-78.82655741091358,09/24/2019 10:40:23 PM,09/24/2019 10:42:26 PM,POINT (-78.82655741091358 42.92748520182968),2,Sunday,Assault
942522269,19-1250412,05/05/2019 11:51:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block MINNESOTA AV,,BUFFALO,NY,,,42.94699406041836,-78.8265595035174,09/23/2019 11:34:56 PM,09/23/2019 11:36:03 PM,POINT (-78.8265595035174 42.94699406041836),11,Sunday,Assault
942519603,18-1120165,04/22/2018 03:20:24 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block ARBOUR LA,,BUFFALO,NY,,,42.836808885708045,-78.80864076920253,09/23/2019 11:28:52 PM,09/23/2019 11:30:33 PM,POINT (-78.80864076920253 42.836808885708045),3,Sunday,Assault
942611894,08-2580084,09/14/2008 01:16:17 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1000 Block TONAWANDA ST,,BUFFALO,NY,,,42.95801524747341,-78.90770491806406,09/24/2019 10:33:53 PM,09/24/2019 10:37:51 PM,POINT (-78.90770491806406 42.95801524747341),1,Sunday,Assault
942518581,17-0290121,01/29/2017 03:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block GROTE ST,,BUFFALO,NY,,,42.942159253322956,-78.88640834966434,09/23/2019 11:26:23 PM,09/23/2019 11:27:38 PM,POINT (-78.88640834966434 42.942159253322956),3,Sunday,Assault
794072230,17-0500528,02/19/2017 04:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,SUFFOLK ST & LANGFIELD DR,,BUFFALO,NY,,,42.929877896348756,-78.81051063164097,02/20/2017 07:04:12 AM,09/23/2019 11:29:04 PM,POINT (-78.81051063164097 42.929877896348756),16,Sunday,Assault
942519099,17-0510647,02/19/2017 12:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block OLCOTT AV,,BUFFALO,NY,,,42.848334226002756,-78.82173444339168,09/23/2019 11:27:37 PM,09/23/2019 11:28:48 PM,POINT (-78.82173444339168 42.848334226002756),0,Sunday,Assault
942575269,13-1740379,06/23/2013 09:45:27 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block LIDDELL ST,,BUFFALO,NY,,,42.89668457914328,-78.82031585404981,09/24/2019 04:08:27 PM,09/24/2019 04:09:35 PM,POINT (-78.82031585404981 42.89668457914328),9,Sunday,Assault
934453050,19-2250314,04/28/2019 09:44:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block ASHLAND AV,,BUFFALO,NY,,,42.91018636456806,-78.87852473694485,08/13/2019 03:14:50 PM,09/23/2019 11:37:12 PM,POINT (-78.87852473694485 42.91018636456806),21,Sunday,Assault
820162198,17-2670266,09/24/2017 05:00:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,800 Block KENSINGTON AV,,BUFFALO,NY,14215,,42.9347028,-78.82169429999999,09/25/2017 06:05:32 AM,09/23/2019 11:31:39 PM,POINT (-78.82169429999999 42.9347028),5,Sunday,Assault
